Solution: A= 9.174, B=-2.610, ,c1=0.03, c2=-0.37 ,Crash=22.63 days/2017-12-11 14:50:41, m=0.82  ,w=11.49. Cost=1.47036
Solution: A= 9.173, B=-2.612, ,c1=0.06, c2=-0.36 ,Crash=28.55 days/2017-12-15 12:45:09, m=0.85  ,w=11.79. Cost=1.48140
Solution: A= 9.132, B=-2.602, ,c1=0.09, c2=-0.36 ,Crash=30.43 days/2017-12-14 09:59:32, m=0.88  ,w=11.60. Cost=1.36210
Solution: A= 9.149, B=-2.596, ,c1=0.06, c2=-0.36 ,Crash=30.59 days/2017-12-15 13:44:25, m=0.87  ,w=11.78. Cost=1.32855
Solution: A= 9.191, B=-2.618, ,c1=0.03, c2=-0.37 ,Crash=19.20 days/2017-12-11 04:28:15, m=0.81  ,w=11.46. Cost=1.48184
Solution: A= 9.178, B=-2.622, ,c1=0.05, c2=-0.36 ,Crash=18.42 days/2017-12-10 09:41:02, m=0.81  ,w=11.31. Cost=1.37903
Solution: A= 9.153, B=-2.595, ,c1=0.06, c2=-0.37 ,Crash=32.12 days/2017-12-16 02:32:01, m=0.87  ,w=11.85. Cost=1.41366
Solution: A= 9.200, B=-2.628, ,c1=0.04, c2=-0.37 ,Crash=17.44 days/2017-12-11 10:12:36, m=0.80  ,w=11.45. Cost=1.47653
Solution: A= 9.179, B=-2.623, ,c1=0.05, c2=-0.37 ,Crash=18.57 days/2017-12-10 13:12:58, m=0.81  ,w=11.33. Cost=1.44980
Solution: A= 9.180, B=-2.637, ,c1=0.06, c2=-0.35 ,Crash=17.78 days/2017-12-10 18:26:40, m=0.82  ,w=11.33. Cost=1.62232
Solution: A= 9.237, B=-2.647, ,c1=0.09, c2=-0.34 ,Crash=41.00 days/2017-12-20 23:35:53, m=0.84  ,w=12.19. Cost=1.40848
Solution: A= 9.149, B=-2.647, ,c1=0.07, c2=-0.33 ,Crash=18.32 days/2017-12-10 07:21:21, m=0.85  ,w=11.24. Cost=1.85215
Solution: A= 9.310, B=-2.733, ,c1=0.17, c2=-0.21 ,Crash=46.48 days/2018-01-03 11:15:11, m=0.90  ,w=13.00. Cost=2.01817
Solution: A= 9.246, B=-2.651, ,c1=0.09, c2=-0.34 ,Crash=42.44 days/2017-12-21 10:05:33, m=0.84  ,w=12.23. Cost=1.37506
