Category: All categories

Week,bitcoin: (Worldwide)
2016-01-03,52
2016-01-10,59
2016-01-17,58
2016-01-24,51
2016-01-31,47
2016-02-07,49
2016-02-14,54
2016-02-21,51
2016-02-28,52
2016-03-06,48
2016-03-13,45
2016-03-20,47
2016-03-27,47
2016-04-03,45
2016-04-10,46
2016-04-17,48
2016-04-24,55
2016-05-01,81
2016-05-08,56
2016-05-15,49
2016-05-22,52
2016-05-29,68
2016-06-05,62
2016-06-12,92
2016-06-19,90
2016-06-26,71
2016-07-03,72
2016-07-10,61
2016-07-17,53
2016-07-24,54
2016-07-31,70
2016-08-07,53
2016-08-14,51
2016-08-21,49
2016-08-28,50
2016-09-04,53
2016-09-11,55
2016-09-18,51
2016-09-25,49
2016-10-02,51
2016-10-09,55
2016-10-16,52
2016-10-23,62
2016-10-30,66
2016-11-06,69
2016-11-13,67
2016-11-20,66
2016-11-27,68
2016-12-04,66
2016-12-11,66
2016-12-18,84
2016-12-25,100
