Category: All categories

Week,bitcoin: (Worldwide)
2014-01-05,66
2014-01-12,60
2014-01-19,61
2014-01-26,63
2014-02-02,53
2014-02-09,66
2014-02-16,55
2014-02-23,100
2014-03-02,81
2014-03-09,45
2014-03-16,39
2014-03-23,40
2014-03-30,34
2014-04-06,32
2014-04-13,29
2014-04-20,25
2014-04-27,25
2014-05-04,23
2014-05-11,22
2014-05-18,23
2014-05-25,27
2014-06-01,26
2014-06-08,25
2014-06-15,25
2014-06-22,21
2014-06-29,22
2014-07-06,22
2014-07-13,22
2014-07-20,21
2014-07-27,21
2014-08-03,21
2014-08-10,25
2014-08-17,24
2014-08-24,21
2014-08-31,22
2014-09-07,25
2014-09-14,21
2014-09-21,23
2014-09-28,23
2014-10-05,25
2014-10-12,22
2014-10-19,19
2014-10-26,19
2014-11-02,20
2014-11-09,23
2014-11-16,21
2014-11-23,19
2014-11-30,20
2014-12-07,23
2014-12-14,22
2014-12-21,24
2014-12-28,20
