Category: All categories

Week,bitcoin: (Worldwide)
2015-01-04,64
2015-01-11,73
2015-01-18,59
2015-01-25,63
2015-02-01,57
2015-02-08,58
2015-02-15,61
2015-02-22,52
2015-03-01,61
2015-03-08,59
2015-03-15,55
2015-03-22,53
2015-03-29,52
2015-04-05,51
2015-04-12,49
2015-04-19,47
2015-04-26,49
2015-05-03,45
2015-05-10,47
2015-05-17,49
2015-05-24,49
2015-05-31,48
2015-06-07,45
2015-06-14,58
2015-06-21,46
2015-06-28,59
2015-07-05,65
2015-07-12,59
2015-07-19,53
2015-07-26,55
2015-08-02,54
2015-08-09,50
2015-08-16,60
2015-08-23,59
2015-08-30,48
2015-09-06,49
2015-09-13,49
2015-09-20,51
2015-09-27,47
2015-10-04,49
2015-10-11,49
2015-10-18,55
2015-10-25,63
2015-11-01,100
2015-11-08,71
2015-11-15,66
2015-11-22,63
2015-11-29,63
2015-12-06,95
2015-12-13,72
2015-12-20,67
2015-12-27,63
