69	BittrexBittrex	PAY/BTC	$14,135,600	$6,754.74	0.29%	Recently
70	HuobiHuobi	ETH/BTC	$13,651,200	$6,740.08	0.28%	Recently
71	BinanceBinance	ZRX/BTC	$13,638,700	$6,793.56	0.28%	Recently
72	RightBTCRightBTC	LTC/BTC	$13,624,600	$6,762.92	0.28%	Recently
73	BiboxBibox	BTM/BTC	$13,408,700	$6,774.44	0.28%	Recently
74	OKExOKEx	HSR/BTC	$13,360,600	$6,742.95	0.28%	Recently
75	Bit-ZBit-Z	BCH/BTC	$13,034,900	$6,709.52	0.27%	Recently
76	BitbankBitbank	BTC/JPY	$12,836,600	$6,742.54	0.27%	Recently
77	LBankLBank	QTUM/BTC	$12,804,100	$6,725.00	0.27%	Recently
78	CoinsBankCoinsBank	BTC/EUR	$12,750,600	$6,679.94	0.26%	Recently
79	BinanceBinance	LTC/BTC	$12,451,100	$6,779.32	0.26%	Recently
80	B2BXB2BX	BTC/USDT	$12,328,000	$6,756.53	0.26%	Recently
81	BCEXBCEX	ETH/BTC	$12,310,300	$6,750.94	0.26%	Recently
82	LBankLBank	BTC/USDT	$11,900,900	$6,734.18	0.25%	Recently
83	BinanceBinance	XLM/BTC	$11,657,900	$6,692.44	0.24%	Recently
84	Bit-ZBit-Z	TRX/BTC	$11,351,500	$6,712.92	0.24%	Recently
85	Bit-ZBit-Z	ETC/BTC	$11,293,200	$6,716.05	0.23%	Recently
86	OOOBTCOOOBTC	ETH/BTC	$11,104,000	$6,753.77	0.23%	Recently
87	CoinbeCoinbe	XIN/BTC	$10,840,000	$6,691.95	0.23%	Recently
88	BiboxBibox	BTC/USDT	$10,594,300	$6,726.51	0.22%	Recently
89	BinanceBinance	INS/BTC	$10,423,500	$6,758.78	0.22%	Recently
90	LBankLBank	ETH/BTC	$10,157,900	$6,729.50	0.21%	Recently
91	Bit-ZBit-Z	APIS/BTC	$9,938,210	$6,790.56	0.21%	Recently
92	HitBTCHitBTC	XMR/BTC	$9,528,400	$6,707.71	0.20%	Recently
93	CoinExCoinEx	NEO/BTC	$9,260,940	$6,751.28	0.19%	Recently
94	BCEXBCEX	BTC/CKUSD	$9,252,180	$6,923.22	0.19%	Recently
95	BitfinexBitfinex	ETH/BTC	$9,132,780	$6,744.62	0.19%	Recently
96	BittrexBittrex	BTC/USDT	$9,095,660	$6,733.12	0.19%	Recently
97	Bit-ZBit-Z	LTC/BTC	$8,990,260	$6,779.32	0.19%	Recently
98	HuobiHuobi	WTC/BTC	$8,895,940	$6,740.57	0.18%	Recently
99	BinanceBinance	QKC/BTC	$8,619,300	$6,755.24	0.18%	Recently
100	YoBitYoBit	BCC/BTC	$8,504,110	$6,725.69	0.18%	Recently
