Time,bit-x,bitfinex,bitstamp,btce,cex.io,coinbase,itbit,mtgox,okcoin,others
2013-07-08 00:00:00 UTC,,,8926.31640861417,798.808904779919,,,,46506.1561672878,,653.840580884808
2013-07-15 00:00:00 UTC,,,7378.79335086825,744.693616909932,,,,42613.3560139479,,572.269555869353
2013-07-22 00:00:00 UTC,,,6627.22212059033,792.59429201425,,,,38287.3794394149,,744.572211939263
2013-07-29 00:00:00 UTC,,,6696.45207269316,669.552088830232,,,,35793.3563659962,,578.955280980136
2013-08-05 00:00:00 UTC,,,6240.28721019254,633.83455409543,,,,29895.0871761353,,436.264281240275
2013-08-12 00:00:00 UTC,,,7550.4314382311,662.899851629275,,,,28494.5504609386,,456.653324317662
2013-08-19 00:00:00 UTC,,,5944.90804308042,866.688465254803,,,,27697.035732838,,422.966012490746
2013-08-26 00:00:00 UTC,,,6746.80034791545,747.02904261813,,,,20048.0479527514,,431.641029171772
2013-09-02 00:00:00 UTC,,,6664.58258588451,822.9393031598,,,,21584.9469834419,,396.347007030121
2013-09-09 00:00:00 UTC,,,6868.88402092498,957.547137760863,,,,22693.2228288041,,434.693588492352
2013-09-16 00:00:00 UTC,,,6877.96301841401,856.676336071096,,,,18199.9797352531,,546.42317069477
2013-09-23 00:00:00 UTC,,,4668.87491150808,672.344971614069,,,,15159.0045419075,,445.985237780946
2013-09-30 00:00:00 UTC,,,6684.3660495383,713.905017804969,,,,21849.8590360476,,1066.79087799453
2013-10-07 00:00:00 UTC,,4202.63353887471,6257.81921539429,1011.96701527999,,,,19888.2944149871,,846.347609747627
2013-10-14 00:00:00 UTC,,2967.79262726623,7193.17750176888,688.341517756239,,,,20059.5078314284,,658.8888863923125
2013-10-21 00:00:00 UTC,,3414.70273748641,9519.3745623111,819.281797894476,,,,24380.2821811165,,556.4538665341865
2013-10-28 00:00:00 UTC,,2450.06505108457,9900.01314196268,613.764222473117,,,,20626.9036520429,,376.5623561095511
2013-11-04 00:00:00 UTC,,4224.58714471815,10422.524804594,824.757801664969,,,,20027.6890506122,,326.97415124011
2013-11-11 00:00:00 UTC,,2499.12782296403,10286.0383107901,637.074601465603,,,,20268.5189471701,,287.17825058943964
2013-11-18 00:00:00 UTC,,2641.57175187556,9940.13456542304,849.377232576745,,,,19900.2939058875,,306.20680665828075
2013-11-25 00:00:00 UTC,,1572.01880569944,8977.27753032231,746.012221398948,,,,16179.4725731635,,245.69884160421856
2013-12-02 00:00:00 UTC,,1450.84913966187,9735.19620024834,973.087449988409,,,,16634.4605004035,,238.5782840309688
2013-12-09 00:00:00 UTC,,1459.64307368049,11233.3023845129,820.111959473762,,,,18571.4309838818,,362.380096334486
2013-12-16 00:00:00 UTC,,2624.57472450818,16381.698245625,987.434406669744,,,,23203.1982504252,,382.8959354197725
2013-12-23 00:00:00 UTC,,2998.20515730754,12746.5003306251,694.963195210013,,,,19779.2797608451,,329.8786783237948
2013-12-30 00:00:00 UTC,,2742.43776845695,9152.47903812441,613.281781843434,,,,15157.0040740561,,233.6871541561669
2014-01-06 00:00:00 UTC,,2371.58279372166,8994.64149333312,628.135850225729,,,,14268.624334983,,227.5109385347229
2014-01-13 00:00:00 UTC,,1868.66685140071,8642.34791118574,683.955811439372,,,,12734.3136394424,,205.99015427459432
2014-01-20 00:00:00 UTC,,1824.43190617149,7532.66323779374,920.568351321839,,,568.274563956004,9948.00013403668,,172.5672363863656
2014-01-27 00:00:00 UTC,,3663.27154042835,7636.40840492278,540.133370481134,,,539.863955521297,8937.39225269407,,139.2416905296872
2014-02-03 00:00:00 UTC,,3860.61119261615,8104.30434917209,641.51718043172,,,538.832078141447,8500.85600240122,,172.63468419211722
2014-02-10 00:00:00 UTC,,12808.5047413424,13290.2700071271,754.819777340001,,,686.46486996427,12440.637208984,,229.77955054588153
2014-02-17 00:00:00 UTC,,9592.65983544483,10872.1932537838,655.623021560718,,,554.940639614341,17234.431814356,,228.8475233746365
2014-02-24 00:00:00 UTC,,10420.0005983162,15834.0765860565,739.263434872779,,,398.816723550164,11780.0907044814,,536.4472409206073
2014-03-03 00:00:00 UTC,,10788.1203408844,14294.3104657595,599.69345289805,,,487.690892423455,7266.43944144704,,278.725191464964
2014-03-10 00:00:00 UTC,,9479.64737859512,10563.0205683958,585.624231862489,,,472.743608625545,3627.88592729289,,249.0039317358541
2014-03-17 00:00:00 UTC,,8699.79342504477,8633.7435170467,475.416508315871,,,248.185525291583,53.6932542465421,,274.03082064201806
2014-03-24 00:00:00 UTC,,10270.0874161351,9536.40622985776,457.930040964974,,,274.883380960698,47.5434378163016,,279.3829282214743
2014-03-31 00:00:00 UTC,,9837.42582758458,9844.03623066448,502.624557256651,,,272.171113592929,40.3333247556863,,238.95993174973475
2014-04-07 00:00:00 UTC,,10313.9108566019,10755.5108095433,651.946560691396,,,316.635329248055,36.8876818955445,,239.56040450053115
2014-04-14 00:00:00 UTC,,11823.5115288544,11042.0716539105,554.72734517527,,,337.10634293765,31.9628501764813,,279.40708478904895
2014-04-21 00:00:00 UTC,,9923.90037123626,10147.4834176719,456.507349373213,,,348.090442755416,30.074379443706,,279.85893695643273
2014-04-28 00:00:00 UTC,,9214.63787149457,9359.89770572328,503.347135493767,,,265.391798170092,27.7581436402079,,281.34669152514834
2014-05-05 00:00:00 UTC,,8532.1164937241,8006.05951650215,557.640604208417,,,285.051085828044,25.0957663464014,,121.7494154722472
2014-05-12 00:00:00 UTC,,6183.03669211783,7344.26330673351,508.430759043604,,,267.642234525208,23.5562984455167,,101.65380292330491
