Date,Fit1,Fit2,Fit3,Index
29.0,1089.1092308133414,1072.4039600118272,1070.6755454456745,920.3800000000002
30.0,1094.6273189274832,1078.9303566781625,1077.5829192834183,970.4000000000002
31.0,1099.8708612901864,1085.1523339079936,1084.1819338934522,989.0200000000002
32.0,1104.835045560853,1091.06278111296,1090.4643620045922,1011.7999999999996
33.0,1109.5157641517408,1096.6553997686638,1096.4228019294776,1029.9100000000003
34.0,1113.9096401874056,1101.9247409174145,1102.0507208993185,1042.9000000000003
35.0,1118.0140507669548,1106.86623933329,1107.3424949990053,1027.3400000000001
36.0,1121.827147367442,1111.4762440941834,1112.2934453971664,1038.15
37.0,1125.3478732464846,1115.752045331429,1116.8998705921815,1061.35
38.0,1128.5759777235985,1119.691896956369,1121.1590744250345,1063.07
39.0,1131.5120272426295,1123.2950351944419,1125.0693896427972,994.3799999999995
40.0,1134.1574131416867,1126.5616927908532,1128.630196832387,988.6699999999998
41.0,1136.5143560820434,1129.4931087870254,1131.84193858223,1004.45
42.0,1138.58590711317,1132.091533803671,1134.7061287696897,999.1800000000001
43.0,1140.3759453770997,1134.3602308038112,1137.2253569134607,990.6399999999998
44.0,1141.8891724816801,1136.3034713471618,1139.4032875727332,1004.5499999999998
45.0,1143.1311035980802,1137.9265273853327,1141.2446548177325,1007.4799999999997
46.0,1144.108055363643,1139.235658684951,1142.7552518390319,1027.4399999999996
47.0,1144.8271306957467,1140.2380960026067,1143.9419158051542,1046.2100000000003
48.0,1145.2962006461532,1140.9420201708679,1144.8125081189528,1054.4200000000005
49.0,1145.523883447545,1141.3565372883306,1145.3758902623981,1047.8699999999997
50.0,1145.5195209248152,1141.491650238108,1145.6418954565604,1079.9800000000002
51.0,1145.2931524625494,1141.3582267880035,1145.6212963979,1115.3
52.0,1144.8554867370833,1140.9679645518002,1145.3257693633645,1117.4399999999998
53.0,1144.2178714362324,1140.3333531137275,1144.7678550046332,1166.72
54.0,1143.392261202197,1139.4676336377559,1143.9609161761216,1173.6799999999996
55.0,1142.3911840429946,1138.3847562990588,1142.9190931613848,1143.84
56.0,1141.2277064652087,1137.0993358870464,1141.6572566786353,1165.1999999999996
57.0,1139.9153975855386,1135.6266059375077,1140.1909590575601,1179.9700000000003
58.0,1138.4682924808355,1133.982371755751,1138.5363839869865,1179.9700000000003
59.0,1136.9008550357983,1132.1829626930387,1136.7102952356383,1222.5000000000005
60.0,1135.2279405445893,1130.2451840351696,1134.729984746567,1251.0100000000002
61.0,1133.4647583170195,1128.1862688551928,1132.61322050028,1274.9900000000005
62.0,1131.6268345322258,1126.0238301715028,1130.3781945313424,1255.1500000000003
63.0,1129.7299755725521,1123.7758137389133,1128.0434714697187,1267.1199999999994
64.0,1127.7902320582593,1121.460451783228,1125.6279379605887,1272.83
65.0,1125.82386378947,1119.0962179703208,1123.1507532957905,1223.5400000000004
66.0,1123.847305785929,1116.7017838783413,1120.6313015662558,1150.0000000000005
67.0,1121.877135597866,1114.2959772175207,1118.089145618673,1188.4899999999998
68.0,1119.9300420422842,1111.8977420156111,1115.543983070925,1116.7199999999998
69.0,1118.0227954993413,1109.526100959406,1113.0156046105747,1175.8299999999995
70.0,1116.1722198825705,1107.2001200535883,1110.5238547686463,1221.3799999999997
71.0,1114.3951663751452,1104.938875728596,1108.0885953280424,1231.9200000000005
72.0,1112.7084890024482,1102.7614244984018,1105.7296714920333,1240.0000000000005
73.0,1111.1290220887006,1100.686775238649,1103.466880904164,1249.61
74.0,1109.6735596229491,1098.733864124668,1101.3199455765862,1187.8099999999995
75.0,1108.358836537123,1096.9215322384318,1099.308486749763,1100.23
76.0,1107.201511876537,1095.2685058234078,1097.452002672871,973.82
77.0,1106.2181538211323,1093.7933791368785,1095.7698492613968,1036.7399999999996
78.0,1105.4252264939698,1092.5145998205794,1094.2812235563094,1054.2300000000005
79.0,1104.83907847249,1091.4504566829141,1093.0051498784328,1120.5400000000002
80.0,1104.4759328972957,1090.619069759273,1091.9604685417369,1049.1400000000003
81.0,1104.351879053321,1090.0383824914754,1091.1658269610073,1038.5900000000001
82.0,1104.482865279077,1089.7261558429857,1090.6396729621017,937.5200000000003
83.0,1104.884693041048,1089.6999641432626,1090.400250077449,972.7800000000003
84.0,1105.5730119925597,1089.977192432783,1090.4655945850086,966.7300000000004
85.0,1106.5633158195647,1090.5750350591607,1090.8535340260444,1045.7699999999998
86.0,1107.870938659398,1091.5104952553431,1091.581686915445,1047.1499999999999
87.0,1109.5110518632464,1092.8003854120118,1092.667463337941,1039.9700000000003
88.0,1111.4986608583424,1094.4613277389062,1094.1280661045587,1026.4300000000003
89.0,1113.8486018520323,1096.509754993196,1095.9804921256489,1071.7900000000002
90.0,1116.5755381067324,1098.9619109373052,1098.2415336400895,1080.5000000000005
91.0,1119.6939555025613,1101.833850174151,1100.9277789244331,1102.1700000000003
92.0,1123.218157092943,1105.141436993847,1104.0556120912026,1143.8100000000002
93.0,1127.162256347952,1108.9003428532653,1107.6412115718176,1133.2500000000005
94.0,1131.54016877068,1113.1260420980184,1111.700546867093,1124.78
95.0,1136.3656015633276,1117.8338055257575,1116.2493731368888,1182.68
96.0,1141.6520410125788,1123.0386913801713,1121.3032231903387,1176.9000000000003
97.0,1147.4127372579587,1128.755533356954,1126.877396429354,1175.9499999999996
98.0,1153.6606861025937,1134.998925196514,1132.9869442911302,1187.8699999999997
99.0,1160.408607523535,1141.783201433545,1139.6466517302533,1187.1299999999997
100.0,1167.6689205385114,1149.1224138712616,1146.871014278256,1205.01
101.0,1175.4537140884452,1157.0303033482992,1154.6742102184705,1200.3700000000003
