Time,
2013-11-14 00:00:00 UTC,69413.0
2013-11-15 00:00:00 UTC,60914.0
2013-11-16 00:00:00 UTC,47175.0
2013-11-17 00:00:00 UTC,51323.0
2013-11-18 00:00:00 UTC,79032.0
2013-11-19 00:00:00 UTC,92907.0
2013-11-20 00:00:00 UTC,77558.0
2013-11-21 00:00:00 UTC,71822.0
2013-11-22 00:00:00 UTC,76947.0
2013-11-23 00:00:00 UTC,72545.0
2013-11-24 00:00:00 UTC,60861.0
2013-11-25 00:00:00 UTC,71793.0
2013-11-26 00:00:00 UTC,83383.0
2013-11-27 00:00:00 UTC,95531.0
2013-11-28 00:00:00 UTC,98921.0
2013-11-29 00:00:00 UTC,90084.0
2013-11-30 00:00:00 UTC,75190.0
2013-12-01 00:00:00 UTC,72142.0
2013-12-02 00:00:00 UTC,75570.0
2013-12-03 00:00:00 UTC,77667.0
2013-12-04 00:00:00 UTC,79624.0
2013-12-05 00:00:00 UTC,83283.0
2013-12-06 00:00:00 UTC,72099.0
2013-12-07 00:00:00 UTC,67712.0
2013-12-08 00:00:00 UTC,47477.0
2013-12-09 00:00:00 UTC,63625.0
2013-12-10 00:00:00 UTC,67623.0
2013-12-11 00:00:00 UTC,67305.0
2013-12-12 00:00:00 UTC,58219.0
2013-12-13 00:00:00 UTC,60115.0
2013-12-14 00:00:00 UTC,54057.0
2013-12-15 00:00:00 UTC,52308.0
2013-12-16 00:00:00 UTC,69382.0
2013-12-17 00:00:00 UTC,67740.0
2013-12-18 00:00:00 UTC,81510.0
2013-12-19 00:00:00 UTC,70278.0
2013-12-20 00:00:00 UTC,65083.0
2013-12-21 00:00:00 UTC,56083.0
2013-12-22 00:00:00 UTC,52897.0
2013-12-23 00:00:00 UTC,54267.0
2013-12-24 00:00:00 UTC,55865.0
2013-12-25 00:00:00 UTC,55428.0
2013-12-26 00:00:00 UTC,51276.0
2013-12-27 00:00:00 UTC,52674.0
2013-12-28 00:00:00 UTC,48009.0
2013-12-29 00:00:00 UTC,51325.0
2013-12-30 00:00:00 UTC,55613.0
2013-12-31 00:00:00 UTC,48847.0
2014-01-01 00:00:00 UTC,43070.0
2014-01-02 00:00:00 UTC,54770.0
2014-01-03 00:00:00 UTC,60980.0
2014-01-04 00:00:00 UTC,52052.0
2014-01-05 00:00:00 UTC,58662.0
2014-01-06 00:00:00 UTC,67358.0
2014-01-07 00:00:00 UTC,62911.0
2014-01-08 00:00:00 UTC,61439.0
2014-01-09 00:00:00 UTC,59031.0
2014-01-10 00:00:00 UTC,54166.0
2014-01-11 00:00:00 UTC,55856.0
2014-01-12 00:00:00 UTC,50537.0
2014-01-13 00:00:00 UTC,53461.0
2014-01-14 00:00:00 UTC,57378.0
2014-01-15 00:00:00 UTC,61612.0
2014-01-16 00:00:00 UTC,56703.0
2014-01-17 00:00:00 UTC,59026.0
2014-01-18 00:00:00 UTC,51573.0
2014-01-19 00:00:00 UTC,48005.0
2014-01-20 00:00:00 UTC,63003.0
2014-01-21 00:00:00 UTC,72577.0
2014-01-22 00:00:00 UTC,65835.0
2014-01-23 00:00:00 UTC,63576.0
2014-01-24 00:00:00 UTC,65600.0
2014-01-25 00:00:00 UTC,53864.0
2014-01-26 00:00:00 UTC,53582.0
2014-01-27 00:00:00 UTC,64374.0
2014-01-28 00:00:00 UTC,65762.0
2014-01-29 00:00:00 UTC,59682.0
2014-01-30 00:00:00 UTC,60799.0
2014-01-31 00:00:00 UTC,60269.0
2014-02-01 00:00:00 UTC,54838.0
2014-02-02 00:00:00 UTC,52483.0
2014-02-03 00:00:00 UTC,57600.0
2014-02-04 00:00:00 UTC,69799.0
2014-02-05 00:00:00 UTC,67529.0
2014-02-06 00:00:00 UTC,70160.0
2014-02-07 00:00:00 UTC,70514.0
2014-02-08 00:00:00 UTC,65009.0
2014-02-09 00:00:00 UTC,56579.0
2014-02-10 00:00:00 UTC,66850.0
2014-02-11 00:00:00 UTC,67229.0
2014-02-12 00:00:00 UTC,62126.0
2014-02-13 00:00:00 UTC,67339.0
2014-02-14 00:00:00 UTC,74889.0
2014-02-15 00:00:00 UTC,61896.0
2014-02-16 00:00:00 UTC,57531.0
2014-02-17 00:00:00 UTC,60853.0
2014-02-18 00:00:00 UTC,65408.0
