Time,
2013-10-30 00:00:00 UTC,2504188497.19794
2013-10-31 00:00:00 UTC,2437346125.25716
2013-11-01 00:00:00 UTC,2486614647.6676
2013-11-02 00:00:00 UTC,2494139841.29856
2013-11-03 00:00:00 UTC,2504416885.18041
2013-11-04 00:00:00 UTC,2610825632.04317
2013-11-05 00:00:00 UTC,2783164080.67023
2013-11-06 00:00:00 UTC,2981403683.78568
2013-11-07 00:00:00 UTC,3170659321.40656
2013-11-08 00:00:00 UTC,3631087930.60187
2013-11-09 00:00:00 UTC,4185807624.84384
2013-11-10 00:00:00 UTC,4117772003.20385
2013-11-11 00:00:00 UTC,3962839427.32813
2013-11-12 00:00:00 UTC,4283678323.54123
2013-11-13 00:00:00 UTC,4463259611.59942
2013-11-14 00:00:00 UTC,5101870320.04746
2013-11-15 00:00:00 UTC,5149114268.94447
2013-11-16 00:00:00 UTC,5125419609.78648
2013-11-17 00:00:00 UTC,5431096197.01665
2013-11-18 00:00:00 UTC,6098868422.41608
2013-11-19 00:00:00 UTC,9135473985.27219
2013-11-20 00:00:00 UTC,6806604159.89981
2013-11-21 00:00:00 UTC,7414413734.01036
2013-11-22 00:00:00 UTC,8892978362.89208
2013-11-23 00:00:00 UTC,9666772713.18143
2013-11-24 00:00:00 UTC,10000418263.8971
2013-11-25 00:00:00 UTC,9654996195.70051
2013-11-26 00:00:00 UTC,9920468887.67104
2013-11-27 00:00:00 UTC,11352645381.4956
2013-11-28 00:00:00 UTC,12489712909.7201
2013-11-29 00:00:00 UTC,12651700830.4503
2013-11-30 00:00:00 UTC,14136993229.5954
2013-12-01 00:00:00 UTC,14150251017.5191
2013-12-02 00:00:00 UTC,12072992379.8405
2013-12-03 00:00:00 UTC,12914171986.4485
2013-12-04 00:00:00 UTC,13532107676.7494
2013-12-05 00:00:00 UTC,14362387382.8807
2013-12-06 00:00:00 UTC,12753512629.7863
2013-12-07 00:00:00 UTC,10281759413.1427
2013-12-08 00:00:00 UTC,8513141375.26659
2013-12-09 00:00:00 UTC,9589778486.26977
2013-12-10 00:00:00 UTC,11267546577.1657
2013-12-11 00:00:00 UTC,12333542117.5368
2013-12-12 00:00:00 UTC,10973686208.3875
2013-12-13 00:00:00 UTC,10699829013.6798
2013-12-14 00:00:00 UTC,11031431142.0776
2013-12-15 00:00:00 UTC,10680756310.1775
2013-12-16 00:00:00 UTC,10749144569.4347
2013-12-17 00:00:00 UTC,8743951377.57912
2013-12-18 00:00:00 UTC,8300493010.59357
2013-12-19 00:00:00 UTC,6561474943.60004
2013-12-20 00:00:00 UTC,8316307844.16347
2013-12-21 00:00:00 UTC,7736381414.06788
2013-12-22 00:00:00 UTC,7448323388.6867
2013-12-23 00:00:00 UTC,7667821644.80257
2013-12-24 00:00:00 UTC,8436050016.49566
2013-12-25 00:00:00 UTC,8241552887.8285
2013-12-26 00:00:00 UTC,8587336102.47596
2013-12-27 00:00:00 UTC,9621740354.25065
2013-12-28 00:00:00 UTC,9289770582.99164
2013-12-29 00:00:00 UTC,9094560207.0778
2013-12-30 00:00:00 UTC,9256429677.40767
2013-12-31 00:00:00 UTC,9396361281.35619
2014-01-01 00:00:00 UTC,9493210351.11545
2014-01-02 00:00:00 UTC,9596815664.5062
2014-01-03 00:00:00 UTC,10111134030.2919
2014-01-04 00:00:00 UTC,10260449412.5506
2014-01-05 00:00:00 UTC,10898071133.3877
2014-01-06 00:00:00 UTC,11855143020.7782
2014-01-07 00:00:00 UTC,11934526852.0347
2014-01-08 00:00:00 UTC,10176439429.3996
2014-01-09 00:00:00 UTC,10901257060.2943
