basinhopping  Minimizing...
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197355 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09425837 accepted. Solution: A= 16.872, B=-9.990, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09350752 accepted. Solution: A= 17.421, B=-10.535, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.85 ,c2=-0.35.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09397371 accepted. Solution: A= 17.072, B=-10.188, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09197521 accepted. Solution: A= 18.813, B=-11.920, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09207771 accepted. Solution: A= 18.705, B=-11.813, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09439060 not accepted. Solution: A= 16.783, B=-9.901, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09212161 accepted. Solution: A= 18.660, B=-11.768, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
New minima 0.09369051 accepted. Solution: A= 17.281, B=-10.396, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.85 ,c2=-0.35.
New minima 0.09197362 accepted. Solution: A= 18.814, B=-11.921, Crash=30.00 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=23.85 ,c2=-0.34.
